name,pub_date,city,salary
Python数据分析助理,05-17,上海-杨浦区,5-6千
大数据主管/经理/总监,05-25,上海-长宁区,3-5万
大数据研发工程师,05-21,上海, 
外企金融咨询-Python开发工程师,05-25,上海, 
python编程老师 （朝十晚六）,05-25,上海-杨浦区,0.8-1万
软件开发实习生(Java/Python方向),05-25,上海-浦东新区,3-4.5千
Python开发工程师,05-25,上海-浦东新区,1-2万
Python开发工程师,05-25,上海-徐汇区,1-1.5万
Python开发工程师,05-25,上海-徐汇区,1.5-2万
Python/Odoo高级开发工程师,05-25,上海,1.5-2万
Python 数据分析师,05-25,上海-浦东新区,1-1.6万
量化分析助理（python实习）,05-25,上海-浦东新区,2-3千
Python开发工程师,05-25,上海-闵行区,0.8-1万
Python,05-25,上海-徐汇区,1-1.5万
运维开发工程师（Python）,05-25,上海,1-1.6万
Python高级开发工程师,05-25,上海-浦东新区,0.8-1.4万
Python开发工程师,05-25,上海-静安区,6-8千
Python开发工程师,05-25,上海-嘉定区,1-1.5万
Python高级开发工程师,05-25,上海-静安区,1-2万
1111PB-Python开发,05-25,上海-浦东新区,15-20万
软件测试工程师-Python/C,05-25,上海-杨浦区,15-20万
NRF Developer - C/C++/GO/python 270696,05-25,上海-长宁区, 
Python开发工程师,05-25,上海-虹口区,1.6-2.5万
Python 开发工程师,05-25,上海,1.5-3万
python爬虫工程师,05-25,上海,1-1.5万
Python开发人员,05-25,上海-松江区,1-1.5万
Python量化开发工程师,05-25,上海-静安区,1.8-2.5万
Python开发工程师suk,05-25,上海-浦东新区,1-1.5万
python开发,05-25,上海-浦东新区,0.8-2万
Python高级开发工程师,05-25,上海-虹口区,2-2.5万
python开发工程师,05-25,上海-静安区,1-1.8万
高级python后端开发工程师,05-25,上海-普陀区,1.2-2万
Python高级开发工程师,05-25,上海,1.2-2万
后台开发工程师（Python）,05-25,上海-浦东新区,1.5-2万
Productivity engineer(python),05-25,上海-浦东新区,1.8-2.5万
系统运维工程师（python）11,05-25,上海-徐汇区,0.8-1万
Python数据工程师,05-24,上海-闵行区,0.8-1.2万
Python开发工程师（机器学习方向）,05-24,上海-黄浦区,1.1-1.5万
Python开发高级工程师,05-24,上海-徐汇区,2-3万
Python开发工程师,05-24,上海-长宁区,1.5-2.5万
python开发实习生,05-24,上海,7-8千
Python开发/深度学习,05-24,上海-普陀区,0.7-1.5万
Python开发工程师,05-24,上海-静安区,1-1.5万
Python开发工程师,05-24,上海-浦东新区,0.9-1.1万
Python开发工程师,05-24,上海-虹口区,0.7-1.4万
Python开发工程师,05-24,上海-长宁区,0.9-1.5万
Python开发工程师,05-24,上海,1-1.5万
python开发工程师,05-24,上海-虹口区,0.8-2万
Python开发工程师（SaaS）,05-24,上海,1.5-2.5万
高级Python/Django后端软件工程师,05-24,上海-长宁区,1.5-2万
Web全栈开发（JS/Python)（2018届）,05-24,上海,0.8-1.5万
Python工程师,05-24,上海-浦东新区,1-1.5万
Python开发工程师,05-24,上海-徐汇区,1-1.5万
